,Unnamed: 0,name,text
0,0,data/regs\1.pdf,"Показатели эффективности и результативности                        профессиональной служебной деятельности   8.1  Эффективность  и  результативность  профессиональной  служебной  деятельности  государственного  инспектора  оценивается  по  следующим  показателям:   - выполняемому  объему  работы  и  интенсивности  труда,  способности   сохранять высокую работоспособность, соблюдению служебной дисциплины;   8  - своевременности и оперативности выполнения поручений;  - качеству  (подготовке   выполняемой   работы   документов                                              в  соответствии  с  установленными  требованиями,  полному  и  логичному  изложению  материала,  юридически  грамотному  составлению  документа,  отсутствию стилистических и грамматических ошибок);   -  способности  организовывать  и  планировать  выполнение  порученных  заданий,  умению  рационально  использовать  служебное  время,  расставлять  приоритеты;   - творческому подходу к решению поставленных задач, способности быстро   адаптироваться к новым условиям и требованиям;   - количеству  и  качеству  рассмотренных  проектов  актов,  управленческих  и  иных  решений,  представляемых  на  утверждение  руководителю  Управления,  начальнику Отдела. статьей  9  Федерального  закона  от  25.12.2008  N  273-ФЗ  ""О  противодействии коррупции"";   3.1.5.  соблюдать  общие  принципы  служебного  поведения  государственных  служащих,  утвержденные  Указом  Президента  Российской  Федерации  от  12.08.2002  №  885  «Об  утверждении  общих  принципов  служебного  поведения  государственных служащих» и положения Кодекса этики и служебного поведения  федеральных  государственных  гражданских  служащих  Росрыболовства  и  его  территориальных органов;   3.1.6.  знать  и  руководствоваться  в  своей  работе  Конституцией  Российской  законами,  федеральными   конституционными   Федерации,  федеральными       законами,  актами  Президента  Российской  Федерации  и  Правительства  Российской  Федерации,  международными  договорами  и  соглашениями  Российской  Федерации,  нормативными  правовыми  актами  Агентства  и  иных  федеральных органов исполнительной власти, локальными актами Управления;   3.1.7.  обладать  знаниями  в  области  информационно-коммуникационных  технологий,  необходимых  для  выполнения  должностных  обязанностей  в  соответствующей области профессиональной служебной деятельности;   4  3.1.8. Для   замещения   должности   государственного   инспектора   предъявляются следующие квалификационные требования:  - уровень профессионального образования – высшее;   - требований к стажу не предъявляется;  - знание государственного языка Российской Федерации (русского языка);  -  знание  основ  Конституции  Российской  Федерации,  законодательства  о  государственной  гражданской  службе,  законодательства  о  противодействии  коррупции;   - уровень   знаний  для  исполнения  должностных  обязанностей,  в  соответствии  с  категориями                  и группами должностей гражданской службы. Умения государственного инспектора включают:  - умение мыслить системно (стратегически);  -  умение  планировать,  рационально  использовать  служебное  время  и   достигать результата;   - коммуникативные умения;  -умение управлять изменениями. профессиональных   необходимых                          навыков,   и   2.2."
1,1,data/regs\2.pdf,"3   Управленческие умения:  1)   руководить   подчиненными,   эффективно   планировать,   организовывать работу и контролировать ее выполнение;   2) оперативно принимать и реализовывать управленческие решения. Профессиональные знания:   Знание основных положений:    -  Трудового кодекса Российской Федерации;  -  федеральных  законов   (от 12   января 1996   г.  № 10- ФЗ  «О профессиональных  союзах,  их  правах  и  гарантиях  деятельности»;  от  27   мая 2003 г.    № 58-ФЗ «О системе государственной службы Российской  Федерации»; от  27  июля 2004  г.    № 79-ФЗ «О государственной гражданской  службе  Российской  Федерации»;  от 22  октября 2004  г.  № 125-ФЗ  «Об  архивном  деле  в  Российской  Федерации»;  от 25  декабря 2008  г.  № 273- ФЗ  «О противодействии коррупции»; от 3 декабря 2012 г. № 230-ФЗ «О контроле  за соответствием расходов лиц, замещающих государственные должности, и  иных  лиц  их  доходам»;  от 7  мая 2013  г.  № 79-ФЗ  «О запрете  отдельным  категориям  лиц  открывать  и  иметь  счета  (вклады),  хранить  наличные  денежные  средства  и  ценности  в  иностранных  банках,  расположенных  за  пределами  территории  Российской  Федерации,  владеть  и  (или)  пользоваться  иностранными финансовыми инструментами»; от 22 декабря 2014 г. № 431-ФЗ  «О  внесении  изменений  в  отдельные  законодательные  акты  Российской  Федерации  по  вопросам  противодействия  коррупции»;  от 27  июля 2010  г.  и  № 210-ФЗ  муниципальных услуг»);   государственных   предоставления   организации   «Об   -  Указов Президента Российской Федерации (от 12 августа 2002 г. № 885  «Об  утверждении  общих  принципов  служебного  поведения  государственных  г.  № 110  «О проведении  аттестации  служащих»;  от 1  февраля 2005  государственных  гражданских  служащих  Российской  Федерации»;  от 16  февраля 2005  г.  № 159  «О  примерной  форме  служебного  контракта  о  прохождении  государственной  гражданской  службы  Российской  Федерации и  замещении  должности  государственной  гражданской  службы  Российской  Федерации»;  от 30  мая 2005  г.  № 609  «Об  утверждении  Положения  о  персональных данных государственного гражданского служащего Российской  Федерации и ведении его личного дела»; от 18 июля 2005 г. № 813 «О порядке и  условиях  командирования  федеральных  государственных  гражданских  служащих»; от 25 июля 2006 г. № 763 «О денежном содержании федеральных  государственных  гражданских  служащих»;  от 28  декабря 2006  г.  № 1474  «О дополнительном  государственных  гражданских служащих Российской Федерации»; от 19   ноября 2007  г. № 1532  «Об исчислении  стажа  государственной  гражданской  службы  Российской  Федерации  для  установления  государственным  гражданским  служащим  Российской  Федерации  ежемесячной  надбавки  к  должностному  окладу  за   профессиональном   образовании           4   выслугу  лет  на  государственной  гражданской  службе  Российской  Федерации,  определения продолжительности  ежегодного дополнительного  оплачиваемого  отпуска за выслугу лет и размера поощрений за безупречную и эффективную  государственную гражданскую службу Российской Федерации»; от 19 мая 2008  г. № 815 «О мерах по противодействию коррупции»; от 21  сентября 2009 г. №  1066  «О  проверке  достоверности  и  полноты  сведений,  представляемых  гражданами,  претендующими  на  замещение  государственных  должностей  Российской Федерации, и лицами, замещающими государственные должности  Российской  Федерации,  и  соблюдения  ограничений  лицами,  замещающими  государственные должности Российской Федерации»; от 2 апреля 2013 г. № 310  «О  мерах  по  реализации  отдельных  положений  Федерального  закона  «О  контроле  за  соответствием  расходов  лиц,  замещающих  государственные  должности,  и  иных  лиц  их  доходам»;  от 8  июля 2013  г.  № 613  «Вопросы  противодействия  коррупции»;  от 23  июня 2014  г.  № 460  «Об утверждении  формы  справки  о  доходах,  расходах,  об  имуществе  и  обязательствах  имущественного  характера  и  внесении  изменений  в  некоторые  акты  Президента  Российской  Федерации»;  от 11  «Об   Основных направлениях развития государственной гражданской службы  Российской Федерации на 2016 - 2018 годы») 2.2.4.Консультант  функциональными знаниями:   обладать   должен   отдела   следующими   1) функции кадровой службы организации;  2) принципов  формирования  и  оценки  эффективности  деятельности   кадровых служб в организациях;   3) перечня государственных наград Российской Федерации;  4) процедуры ходатайствования о награждении;  5) процедуры поощрения и награждения за гражданскую службу;  6) основы дипломатического этикета;                 8   7) порядка ведения дел в судах различной инстанции. Консультант    отдела  должен  обладать  следующими  базовыми   знаниями и умениями:   Базовые знания:  1) знание  государственного  языка  Российской  Федерации  (русского   языка);   2) знание основ:  а) Конституции Российской Федерации;  б)  Федерального  закона  от 27  мая 2003  г.  № 58- ФЗ  «О  системе   государственной службы Российской Федерации»;   в)  Федерального закона от 27 июля 2004 г. № 79-ФЗ    «О государственной гражданской службе Российской Федерации»;   г) Федерального закона от 25 декабря 2008 г. № 273-ФЗ     «О противодействии коррупции»;   3)  знания  и  умения  в  области  информационно-коммуникационных   технологий. Умения:  1) мыслить системно (стратегически);  2) планировать, рационально использовать служебное время и достигать   результата;   3) коммуникативные умения;  4) умение управлять изменениями. ;   2.2.2.Иные  профессиональные  знания  консультанта  отдела  включают   знания:   1)  современных  кадровых  технологий,  основанных  на  передовом   российском и зарубежном опыте;   2)  возможностей   современных  особенностей  информационно-коммуникационных  технологий  в  части  кадровой  работы  в  государственных органах;   применения   и   3)  основных моделей и концепций государственной службы;   4)  основных   направлений   совершенствования   государственного   управления;   5)  порядка  рассмотрения  документов  о  присвоении  классного  чина  государственной  гражданской  службы  Республики  Крым  государственным  гражданским служащим."
2,2,data/regs\3 ДР главный спец эксп НКО 2024.pdf,"Эффективность  и  результативность  профессиональной  служебной  специалиста-эксперта  отдела  оценивается  по   главного  деятельности  следующим показателям:   1)  выполняемому  объему  работы  и  интенсивности  труда,  способности  экстремальных  условиях,   работоспособность   в   сохранять  соблюдению служебной дисциплины;   высокую   2) своевременности и оперативности выполнения поручений;  3)  качеству  выполненной  работы   (подготовке  документов  в  соответствии  с  установленными  требованиями,  полному  и  логичному  изложению  материала,  юридически  грамотному  составлению  документа,  отсутствию стилистических и грамматических ошибок);   4)  профессиональной  компетентности   (знанию  законодательных,  нормативных правовых актов, широте профессионального кругозора, умению  работать с документами);   5)  способности  четко  организовывать  и  планировать  выполнение  порученных  заданий,  умению  рационально  использовать  рабочее  время,  расставлять приоритеты;   6) творческому подходу к решению поставленных задач, активности и  инициативе  в  освоении  новых  компьютерных  и  информационных  технологий,  способности  быстро  адаптироваться  к  новым  условиям  и  требованиям;   7) осознанию ответственности за последствия своих действий. свой   умение   условиях;   информацию;   изменениями;  уровень;   управлять  профессиональный   е)  наличие  профессиональных  умений:  умение  мыслить  системно;  умение  планировать,  рационально  использовать  служебное  время;  умение  достигать  результата;  коммуникативные  умения;  умение  работать  в  умение  стрессовых  руководить  совершенствовать  подчиненными,  эффективно  планировать,  организовывать  работу  и  контролировать  ее  выполнение;  умение  стимулирования  достижения  результатов,  требовательности,  владения  конструктивной  критикой,  подбора  и  расстановки  кадров;  умение  собирать,  обобщать,  анализировать  и  оценивать  реализовывать  управленческие  решения;  вести  деловые  переговоры  с  представителями  государственных  органов,  органов  местного  самоуправления,  организаций;  владеть  методикой  подготовки  проектов  текстов  официальных  документов,  заключений,  аналитических,  справочных  и  информационных  материалов постановления Правительства  Российской Федерации от 24.09.2010 № 753 «Об утверждении Правил выдачи  разрешения  на  включение  в  наименование  некоммерческой  организации  официального наименования «Российская Федерация» или «Россия», а также  слов,  производных  от  этого  наименования»;  постановления  Правительства  Российской  Федерации  от  27.10.2016  №  1096  «Об  утверждении  перечня  общественно  полезных  услуг  и  критериев  оценки  качества  их  оказания»;  постановления Правительства Российской Федерации от 26.01.2017 № 89 «О  реестре некоммерческих организаций  - исполнителей общественно полезных  услуг»;  постановления  Правительства  Российской  Федерации  от  11.07.2012  № 705 «Об утверждении Положения о федеральном государственном надзоре  постановления  за  Правительства Российской Федерации от 20.11.2012 № 1198 «О федеральной  государственной  информационной  системе,  обеспечивающей  процесс  досудебного (внесудебного) обжалования решений и действий (бездействия),  совершенных  при  предоставлении  государственных  и  муниципальных  услуг»;  постановления  Правительства  Российской  Федерации  от  11.06.2015  №  574  «Об  утверждении  Правил  определения  перечня  организаций,  указанных  в  частях  третьей  и  четвертой  статьи  6  Федерального  закона  «Об  увековечении  Победы  советского  народа  в  Великой  Отечественной  войне  1941  -  1945  годов»,  а  также  атрибутики  и  символики  этих  организаций»;  приказа Минюста России от 29.03.2024 № 89 «Об утверждении Положения о  Главном  управлении  (Управлении)  Министерства  юстиции  Российской  Федерации  по  субъекту  (субъектам)  Российской  Федерации»;  приказа  Минюста  России  от  28.07.2022  г.  №  138  «Об  утверждении  Положения  о  Департаменте законодательства и правоприменения в сфере некоммерческих  организаций»;  приказа  Минюста  России  от  11.12.2015  №  289  «О  порядке  ведения федерального списка экстремистских материалов»; приказа Минюста  России  от  13.10.2011  №  355  «Об  утверждении  порядка  ведения  государственного  реестра  казачьих  обществ  в  Российской  Федерации»;  приказа  Минюста  России  от  26.09.2022  №  199  «Об  утверждении  Административного  регламента  Министерства  юстиции  Российской  Федерации  по  предоставлению  государственной  услуги  по  принятию  решения  о  государственной  регистрации  некоммерческих  организаций»;  приказа  Минюста  России  от  30.12.2021  №  274  «Об  утверждении  Административного  регламента  осуществления  Министерством  юстиции  Российской  Федерации  за  государственного  соответствием деятельности некоммерческих организаций  уставным целям и  задачам,  филиалов  и  представительств  международных  организаций,   (надзора)   контроля     5   иностранных некоммерческих неправительственных организаций заявленным  целям  и  задачам,  а  также  за  соблюдением  ими  законодательства  Российской  Федерации»; приказа Минюста России от 31.10.2022 № 262 «Об утверждении  регламента  Министерства  юстиции  Российской  Административного  Федерации  по  предоставлению  государственной  услуги  по  внесению  казачьих  обществ  в  государственный  реестр  казачьих  обществ  в  Российской  Федерации»; приказа Минюста России от 31.10.2022 № 260 «Об утверждении  Административного  регламента  Министерства  юстиции  Российской  Федерации  по  предоставлению  государственной  услуги  по  принятию  решения  о  признании  социально  ориентированной  некоммерческой  организации исполнителем общественно  полезных услуг»; приказа Минюста  России  от  29.11.2022  №  307  «Об  утверждении  Порядка  ведения  реестра  иностранных  агентов  и  размещения  содержащихся  в  нем  сведений  на  официальном  сайте  Министерства  юстиции  Российской  Федерации  в  информационно-телекоммуникационной сети «Интернет», Порядка принятия  решения  об  исключении  физического  лица,  впервые  включенного  в  реестр  иностранных  агентов,  из  реестра  иностранных  агентов,  формы  заявления  иностранного  агента  об  исключении  из  реестра  иностранных  агентов»;  приказа  Минюста  России  от  02.10.2020  №  241  «Об  утверждении  Порядка  Российской  Федерации  предоставления  Министерством  юстиции  Государственной корпорации «Агентство по страхованию вкладов» сведений  о  нахождении  юридического  лица  в  реестре  некоммерческих  организаций  -  исполнителей общественной полезных услуг на день наступления страхового  случая»;  приказа  Минюста  России  от  30.09.2021  №  185  «О  формах  и  сроках  представления  в  Министерство  юстиции  Российской  Федерации  отчетности  некоммерческих организаций»; приказа Минюста России от 18.02.2009 № 53  «О государственной религиоведческой экспертизе»; приказа Минюста России  от  03.03.2009  №  62  «Об  утверждении  Порядка  регистрации,  открытия  и  закрытия  в  Российской  Федерации  представительств  иностранных  религиозных  организаций»;  приказа  Федеральной  налоговой  службы  от  31.08.2020  №  ЕД-7-14/617@  «Об  утверждении  форм  и  требований  к  оформлению  документов,  представляемых  в  регистрирующий  орган  при  индивидуальных  государственной  предпринимателей  иных  нормативных  правовых  актов  и  служебных  документов,  регулирующих  соответствующую  сферу  деятельности  применительно  к  исполнению  конкретных должностных обязанностей;   регистрации  юридических   (фермерских)   крестьянских   хозяйств»;   лиц,   и   и   приоритетов   д)  наличие  иных  профессиональных  знаний:  знание  основных  направлений  сфере  некоммерческих  организаций;  знание  судебной  практики  Конституционного  Суда  Российской  Федерации,  Верховного  Суда  Российской  Федерации,  Высшего  Арбитражного  Суда  сфере  некоммерческих  организаций;  знание  принципов,  методов,  технологий  и  механизмов  осуществления  контроля  (надзора);  принципов  защиты  прав   Российской  Федерации   государственной   политики   в   в     6   плана   плановых   проверок;   проведения   подконтрольных  лиц;  знание  видов  и  порядка  организации  и  осуществления  мероприятий  по  профилактике  нарушения  обязательных  требований;  обязанностей  и  ограничений  при  проведении  мероприятий  по  контролю;  видов  и  основных  характеристик  мероприятий  по  контролю;  порядка  организации и осуществления мероприятий по контролю без взаимодействия;  порядка  организации  и  осуществления  плановых  проверок,  формирования  института  ежегодного  предварительной проверки жалоб и иной информации, поступившей  в отдел  по делам некоммерческих организаций; оснований проведения и особенности  внеплановых проверок, согласования их проведения с органами прокуратуры;  порядка, этапов, инструментов организации и проведения проверки; понятие  единого  реестра  контрольных  (надзорных)  мероприятий,  процедуры  его  формирования;  мер,  принимаемых  по  результатам  проверки;  знание  принципов  предоставления  государственных  услуг;  знание  требований  к  предоставлению  государственных  услуг;  порядка,  требований,  этапов  и  принципов разработки и применения административного регламента; порядка  предоставления государственных услуг в электронной форме; знание понятий  и принципов функционирования, назначения портала государственных услуг;  прав  заявителей  при  получении  государственных  услуг;  обязанностей  государственных органов, предоставляющих государственные услуги; знание  стандартов  предоставления  государственной  услуги:  требования  и  порядок  разработки. Для  замещения  должности  главного  специалиста-эксперта  отдела   устанавливаются следующие требования:   а)  наличие  высшего  образования,  по  следующим  специальностям,  направлениям  подготовки:  должен  иметь  высшее  профессиональное  образование  не  ниже  уровня  бакалавриат  по  направлениям  подготовки  (специальностям)  профессионального  образования  «Юриспруденция»  или  иным  специальностям  и  направлениям  подготовки,  соответствующим  функциям и задачам, возложенным на отдел;   б)  наличие  стажа  гражданской  службы  или  стажа  работы  по  специальности,  направлению  подготовки  –  без  предъявления  требования  к  стажу;   с   средств   применением   автоматизированных   услуг  населению  и   в)  наличие  базовых  знаний,  таких  как  знание:  государственного  языка  Российской  Федерации  (русского  языка);  знание  основ  государственного  устройства  и  управления;  организации  труда  и  делопроизводства;  порядка  прохождения гражданской службы; норм делового общения; форм и методов  работы  управления;  программных  документов  и  приоритетов  государственной  политики  в  области  информационно-коммуникационных  технологий  (далее  -  ИКТ);  правовых  аспектов  применения  ИКТ,  предоставления  посредством  ИКТ  государственных  организациям;  программного  обеспечения; возможностей и особенностей применения современных ИКТ в  государственных  возможностей  органах,  межведомственного  документооборота;  общих  вопросов  обеспечения  информационной  безопасности;  основ  проектного  управления;  служебного  распорядка  Минюста  России;  порядка  работы  со  служебной  информацией,  сведениями  конфиденциального  характера,  с  информацией,  содержащей  сведения,  в  соответствии  с  законом  тайну,  а  также  информацией,  не  подлежащей  разглашению;  правил  охраны  труда  и  пожарной  безопасности;  учетных  систем,  обеспечивающих  поддержку  выполнения  федеральными  органами  государственной  власти  основных  задач  и  функций;  систем  управления  информационно- государственными   государственную  и  иную  охраняемую   информационными   использование   составляющие   ресурсами,   включая         3   аналитических  систем,  обеспечивающих  сбор,  обработку,  хранение  и  анализ  данных; систем информационной безопасности;   г)  наличие  профессиональных  знаний  в  сфере  законодательства  Российской  Федерации:  знание  Конституции  Российской  Федерации;  федеральных  конституционных  законов,  федеральных  законов  от  27.05.2003  №  58-ФЗ  «О  системе  государственной  службы  Российской  Федерации»,  от  27.07.2004  №  79-ФЗ  «О  государственной  гражданской  службе  Российской  Федерации»  (далее  –  Федеральный  закон  о  гражданской  службе),  от  25.12.2008 № 273-ФЗ «О противодействии коррупции» (далее – Федеральный  закон  о  противодействии  коррупции);  Указа  Президента  Российской  Федерации от 13.01.2023 № 10 «Вопросы Министерства юстиции Российской  Федерации», приказа Минюста России от 02.08.2023 № 207 «Об утверждении  Регламента Министерства юстиции Российской Федерации»;   Гражданского  кодекса  Российской  Федерации  (часть  первая,  главы  4,  9.1, 10 и 11); ;  умение  работать  в  информационных  системах  по  реализации  полномочий  и  функций Министерства юстиции Российской Федерации (далее  –  ФГИС  ПФ  Минюста  России);  пользования  современной  оргтехникой  и  программными  продуктами,  работы  с  внутренними  и  периферийными  устройствами  компьютера, с информационно-телекоммуникационными сетями, в том числе  с  сетью  Интернет,  в  операционной  системе,  в  текстовом  редакторе,  с  электронными таблицами, с базами данных, управления электронной почтой,  со  справочными  правовыми  системами  «Консультант  Плюс»,  «Гарант»;   оперативно   принимать   и     7   стилистическом  уровне;  редактирования  документации  на  высоком  своевременного выявления и разрешения проблемных ситуаций, приводящих  к  конфликту  интересов;  умение  организации  и  проведения  мероприятий  по  профилактике  нарушения  обязательных  требований  и  мероприятий  по  контролю;  формирования  и  ведения  реестров  и  иных  информационных  ресурсов  для  обеспечения  контрольно-надзорных  полномочий;  проведения  мероприятий  по  контролю  без  взаимодействия;  проведения  плановых  и  внеплановых документарных проверок; проведения плановых и внеплановых  выездных  проверок;  осуществления  контроля  исполнения  предписаний  и  решений  контрольно-надзорных  органов;  умение  подготовки  проектов  программ  проверок,  докладов,  информации,  справок  по  результатам  контрольных  мероприятий;  прием  и  согласование  документации,  заявок,  заявлений;  предоставления  информации  из  реестров,  баз  данных,  выдачи  справок, выписок, документов, разъяснений и сведений; умение рассмотрения  запросов, ходатайств, уведомлений, жалоб; проведения консультаций; выдачи  свидетельств  и  других  документов  по  результатам  предоставления  государственной услуги."
3,3,data/regs\3.pdf,"Гражданский служащий, замещающий должность ведущего специалиста   -эксперта, должен обладать следующими базовыми знаниями и умениями:    1) знанием государственного языка Российской Федерации (русского языка);  2) знаниями основ:   а) Конституции Российской Федерации,  б)  Федерального  закона  от  27  мая  2003  г.  №  58-ФЗ  «О  системе   государственной службы Российской Федерации»,   в)  Федерального  закона  от  27  июля  2004 г.  №  79-ФЗ  «О  государственной   гражданской службе Российской Федерации»,   г) Федерального закона от 25 декабря  2008 г. № 273-ФЗ «О противодействии   коррупции»,   3)  знаниями  и  умения  в  области  информационно-коммуникационных   технологий:    - аппаратного и программного обеспечения;   -  возможностей  и  особенностей  применения  современных  информационно- включая   органах,  коммуникационных  использование возможностей межведомственного документооборота;    государственных   технологий   в   - общих вопросов в области обеспечения информационной безопасности;   - работы с внутренними и периферийными устройствами компьютера;   -  работы  с  информационно-телекоммуникационными  сетями,  в  том  числе   сетью Интернет;    - работы в операционной системе;   - управления электронной почтой;   - работы в текстовом редакторе;  - работы с электронными таблицами;   - подготовки презентаций;   - использования графических объектов в электронных документах;  - работы с базами данных. Умения  гражданского  служащего,  замещающего  должность  ведущего   специалиста-эксперта , включают:   - умение мыслить системно (стратегически);   -достигать результата;          -умение  планировать,  рационально  использовать  служебное  время  и  -  коммуникативные умения;         - умение управлять изменениями;    - умение совершенствовать свой профессиональный уровень. Ведущий   специалист-эксперт   должен   обладать   следующими   профессиональными знаниями в сфере законодательства Российской Федерации:    1) Федеральный  закон  от  27  июля  2004  г.  №  79-ФЗ  «О  государственной   гражданской службе Российской Федерации»;   2) Федеральный  закон  от  25.12.2008  №273-ФЗ  «О  противодействии   коррупции»;   3) Федеральный закон от 2 марта 2007 г. №25-ФЗ «О муниципальной службе  в  Российской  Федерации»  в  части  взаимосвязи  муниципальной  службы  и  государственной гражданской службы;   4) Федеральный  закон  от  2  мая  2006  г.  №  59-ФЗ  «О  порядке  рассмотрения   обращений граждан Российской Федерации»;   5) Федеральный закон от  27  июля  2006  г.  №152-ФЗ  «О  персональных   данных»;   6) Федеральный  закон  от  3  декабря  2012  г.  №230-ФЗ  «О  контроле  за  соответствием  расходов  лиц,  замещающих  государственные  должности,  и  иных  лиц их доходам»;   7) Функциональные умения   ведущего специалиста- эксперта:  1) выявление факта наличия конфликта интересов;             6   2) проведение анализа сведений о доходах, расходах, об имуществе и   обязательствах имущественного характера;   3) умение проводить оценку коррупционных рисков, выявлять конфликт   интересов, разрешать конфликтные ситуации. Иные  профессиональные   знания   ведущего   специалиста-эксперта   включают:   1) основные направления совершенствования государственного управления;  2)  основные модели и концепции государственной службы;  3)  проблемы  и  перспективы  развития  государственной  службы  Российской   Федерации;   4) понятие «открытые данные»;  5) понятие коррупции, причины ее возникновения и последствия;  6)  основные  направления  политики  государства  в  сфере  противодействия   коррупции;   7)  меры  по  профилактике  и  противодействию  коррупции  на  государственной   гражданской службе;    2.2.4  Ведущий   специалист-эксперт   должен   обладать   следующими   функциональными знаниями и умениями   2.2.5. Функциональные знания ведущего специалиста-эксперта :  1)  понятие  проекта  нормативного  правового  акта,  инструменты  и  этапы  его   разработки;   2)   понятие, процедура рассмотрения обращений граждан;  3)  процедуры  организации  служебной  проверки,  этапы,  инструменты   проведения;   4) меры, принимаемые по результатам служебной проверки;  5) принципы формирования и оценки эффективности деятельности   кадровой   службы;   6) меры, принимаемые по результатам служебной   проверки. Должностной регламент   федерального государственного гражданского служащего   Российской Федерации, замещающего должность главного специалиста- эксперта отдела общего обеспечения Департамента по недропользованию по  Северо-Кавказскому федеральному округу    гражданской   Настоящий  должностной  регламент  разработан  и  утвержден  в  соответствии  с  положениями  Федерального  закона  от  27  июля  2004  года  №  79-ФЗ  «О  государственной  службе  Российской  Федерации»,  приказом  Федерального  агентства  по  недропользованию  от  7  мая  2007  года    №  531  «О  квалификационных  требованиях  к  профессиональным  знаниям  и  навыкам,  необходимыми  для  исполнения  должностных  обязанностей  федеральными  государственными  агентства  по  недропользованию»,  регулирующих  трудовые  правоотношения  в  Российской  Федерации и является неотъемлемой частью служебного контракта  от _______года  № ________, заключенного с _________________. Эффективность  профессиональной  служебной  деятельности  ведущего   специалиста-эксперта оценивается по следующим показателям:   - выполняемому объему работы и интенсивности труда, способности сохранять  высокую  работоспособность  в  экстремальных  условиях,  соблюдению  служебной  дисциплины;                 14   - своевременности и оперативности выполнения поручений;  -  качеству  выполненной  работы  (подготовке  документов  в  соответствии  с  установленными  требованиями,  полному  и  логичному  изложению  материала,  юридически  грамотному  составлению  документа,  отсутствию  стилистических  и  грамматических ошибок);   -  профессиональной  компетентности  (знанию  законодательных  и  иных  нормативных  правовых  актов,  широте  профессионального  кругозора,  умению  работать с документами);   -  способности  четко  организовывать  и  планировать  выполнение  порученных  заданий,  умению  рационально  использовать  рабочее  время,  расставлять  приоритеты;   -  творческому  подходу  к  решению  поставленных  задач,  активности  и  инициативе  в  освоении  новых  компьютерных  и  информационных  технологий,  способности быстро адаптироваться к новым условиям и требованиям;  - осознанию ответственности за последствия своих действий."
